subset,algorithm,n_rows,total_cost_mean,total_cost_median,total_cost_std,num_courses_mean,num_courses_median,num_courses_std,elapsed_time_mean,elapsed_time_median,elapsed_time_std,success_rate
performance,a_star,560,19.194642857142856,18.0,12.58415563470944,5.476785714285715,5.0,3.4240280639883505,0.2499628287497866,0.0043284499988658,1.1656807616041598,1.0
performance,exact_small,260,17.807692307692307,19.0,8.677042139523136,5.269230769230769,6.0,2.35067873723538,0.014619782694073602,0.000590950003243,0.029335885879903684,1.0
performance,greedy,485,21.296907216494844,20.0,14.700961721564141,6.2,6.0,4.217143289083401,9.156217018143963,0.0001389000099152,45.533201098498445,1.0
robustez,a_star,600,17.965,17.0,13.009709036537258,5.128333333333333,5.0,3.559913697190044,0.23342070233290235,0.0038837000029161,1.127790674671337,0.9333333333333333
robustez,exact_small,300,15.533333333333333,16.0,9.973990702019368,4.6,5.0,2.786733982213841,0.012913590334840857,0.0004774500121129,0.027701960113853168,0.8666666666666667
robustez,greedy,600,20.54,18.5,14.893446811597485,5.9783333333333335,5.0,4.217919941940171,7.457231139166106,0.00012720000813715,41.10086420171255,0.8083333333333333
