subset,instance_size,n_rows,total_cost_mean,total_cost_median,total_cost_std,num_courses_mean,num_courses_median,num_courses_std,elapsed_time_mean,elapsed_time_median,elapsed_time_std,success_rate
performance,large,185,33.23243243243243,26.0,20.280774442459023,9.697297297297297,7.0,5.811836053079363,10.778344336755548,0.1004686999949626,59.48880592407619,1.0
performance,manual,180,7.0,4.0,6.776561643599001,2.1666666666666665,1.0,2.1598158415183786,0.8352590016676306,4.99500019941479e-05,8.076403540275246,1.0
performance,medium,370,15.527027027027026,12.0,9.425536110740723,4.243243243243243,4.0,2.332815336293661,3.163123165135039,0.0021099499863339,21.94584939774825,1.0
performance,small,570,22.026315789473685,21.0,6.735605006489096,6.473684210526316,6.0,1.569763318865188,2.2278064696495563,0.00092665001284325,17.59813731023395,1.0
robustez,large,200,34.64,27.0,20.121250548067092,10.02,7.5,5.702824831193434,9.970021563998744,0.08313020001514809,57.2735919356912,0.925
robustez,manual,300,4.8,2.0,6.122495392630027,1.5,0.5,1.9397272504195189,0.6134926646667492,4.879999323748052e-05,6.545339571517443,0.6
robustez,medium,400,15.7875,12.5,9.126915976281104,4.3,4.0,2.252261464453151,2.925901016999633,0.0017183000018121501,21.121175215483863,0.925
robustez,small,600,21.8,20.5,6.639538572377615,6.45,6.0,1.533433738940009,2.1164211050003843,0.0007924999808892499,17.158670834896544,0.95
