subset,variant,n_rows,total_cost_mean,total_cost_median,total_cost_std,num_courses_mean,num_courses_median,num_courses_std,elapsed_time_mean,elapsed_time_median,elapsed_time_std,success_rate
performance,A,320,17.15625,17.0,9.164499363813698,5.03125,5.0,2.637852919531028,0.13348087718786697,0.00038045000110284997,0.9118406468132808,1.0
performance,B,320,17.15625,17.0,9.164499363813698,5.03125,5.0,2.637852919531028,0.1302651231247182,0.00040084999636740004,0.889390289149568,1.0
performance,C,320,17.15625,17.0,9.164499363813698,5.03125,5.0,2.637852919531028,0.14118849500055144,0.00042765001126095,0.8995430963020672,1.0
performance,D,345,26.776811594202897,24.0,17.96878871019116,7.576811594202899,7.0,4.966812677825624,12.912946501159299,0.0756142999744042,53.553910747010015,1.0
robustez,A,375,16.386666666666667,17.0,10.43171497702338,4.8,5.0,2.9659385435052883,0.11392962080007416,0.000246599985985,0.8434517045153375,0.8533333333333334
robustez,B,375,16.386666666666667,17.0,10.43171497702338,4.8,5.0,2.9659385435052883,0.11117712906600594,0.0002507999888621,0.8226875908736261,0.8533333333333334
robustez,C,375,16.386666666666667,17.0,10.43171497702338,4.8,5.0,2.9659385435052883,0.12050034773380802,0.0002596999984234,0.8322727267591163,0.8533333333333334
robustez,D,375,24.874666666666666,23.0,18.42335687195395,7.050666666666666,7.0,5.095357363980142,11.969766721066398,0.071097899985034,51.48902890402028,0.92
